ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
4,29,146,Sham19Y0036540,4664,1242,1454,81,49
17,811,967,Shamela0000623BK1,95,1376,1483,71,58
17,791,967,JK006919,1046,1248,1367,74,55
17,811,967,JK001477,230,279,386,71,58
17,1151,1314,Sham19Y0150966,1126,245,401,96,72
17,1151,1308,Masaha002028Vols,1076,980,1129,91,71
17,791,967,JK010766,331,1095,1213,74,55
17,811,967,Shamela0010798,2114,806,915,65,54
17,811,975,Shamela0037494,23,1412,1531,74,57
17,811,961,JK007606,121,1071,1175,66,56
17,811,961,JK001336,749,1387,1488,77,65
17,811,967,Shamela0010283,67,1210,1317,71,58
17,811,967,JK010744,16,15,123,71,58
17,811,967,JK010731,99,1249,1357,71,58
17,811,967,Shamela0000131,1624,1087,1194,82,66
44,1443,1615,Shamela0028100,469,671,844,138,97
44,1443,1615,Masaha000955Vols,323,1399,1572,138,97
44,1443,1615,Sham19Y0016714,248,551,731,136,92
127,1054,1193,Tafsir02096,402,673,821,102,82
152,528,708,Sham19Y0036540,4665,1319,1486,130,89
170,955,1272,Sham19Y0036540,4666,1,316,238,88
