ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,226,932,Shia003366Vols,8183,430,714,230,39
1,751,1060,Shia000046,9,1069,1259,148,58
1,751,1629,Shia001341,4,518,1196,198,21
1,751,1137,Shia000054,9,592,957,292,91
4,18,114,Shia000220Vols,61,693,790,75,98
4,18,516,Shia000234Vols,516,810,940,93,23
4,18,114,Shia000401Vols,456,36,133,74,96
5,737,886,Shia001122Vols,1125,191,340,118,100
5,737,891,Shia000094Vols,199,1113,1267,120,98
5,737,897,Shia001395Vols,262,655,808,117,92
5,737,897,Shia001395Vols,515,80,240,114,88
5,737,886,Shia001161Vols,135,118,267,117,99
5,737,886,Shia001157Vols,111,293,414,96,81
5,753,886,Shia000317Vols,791,328,449,88,83
5,750,886,Shia000234Vols,752,34,170,108,100
5,737,891,Shia000126Vols,63,1098,1250,115,94
5,737,886,Shia000107Vols,257,995,1145,116,98
5,737,886,Shia001187Vols,454,17,167,118,99
5,753,886,Shia000196Vols,180,644,771,99,93
5,737,986,Shia000055Vols,130,1130,1370,136,62
5,750,891,Shia000218Vols,496,155,296,108,97
6,560,1020,Shia000065,31,707,990,158,39
6,379,1154,Shia000043Vols,51,97,589,185,26
6,619,998,Shia000049Vols,93,247,669,136,27
6,577,1020,Shia000048,40,507,754,154,41
6,545,1259,Shia000025,199,279,545,154,26
6,545,998,Shia000032,114,1189,1456,188,50
6,569,994,Shia004622,31,651,895,153,41
7,7,443,Shia000049Vols,93,851,1412,228,47
7,7,333,Shia000048,40,744,1181,204,58
7,13,401,Shia000033Vols,46,108,487,210,64
7,7,401,Shia000023,87,1170,1464,167,44
10,833,1041,Shia000033Vols,88,570,906,110,38
14,261,553,Shia001161Vols,1437,58,391,196,74
14,295,553,Shia001187Vols,3907,1033,1349,188,76
15,1375,1558,Shia000094Vols,416,197,393,141,86
15,1,392,Shia000111Vols,85,747,1171,244,66
15,7,330,Shia000046,44,983,1427,243,65
15,1,441,Shia000070Vols,86,971,1432,266,65
15,7,337,Shia000066Vols,145,43,388,234,81
15,7,337,Shia000107Vols,683,74,526,239,63
15,7,330,Shia000109Vols,239,498,838,205,70
15,7,337,Shia000089Vols,428,267,612,216,74
15,7,341,Shia000134VolsBK1,86,773,1149,217,68
16,25,230,Shia000041,86,87,330,131,67
17,591,1008,Shia001122Vols,1953,687,1150,240,57
17,690,869,Shia000181,242,1209,1385,137,96
17,655,869,Shia002945Vols,593,1003,1216,167,99
17,516,869,Shia001161Vols,833,965,1284,193,70
17,614,869,Shia001161Vols,1441,1048,1302,192,95
17,716,1008,Shia000182VolsBK2,531,1,379,149,45
17,690,869,Shia000182VolsBK2,1827,361,535,132,92
17,577,1008,Shia001157Vols,655,200,603,220,61
17,682,943,Shia000134VolsBK2,639,699,946,161,77
17,690,869,Shia000063Vols,219,829,1007,135,94
17,690,869,Shia000234Vols,3991,714,894,131,87
17,687,869,Shia000234Vols,4000,468,642,133,92
17,687,1008,Shia000107Vols,1091,1216,1504,172,65
17,690,1008,Shia000026Vols,309,471,832,163,50
17,591,1008,Shia001187Vols,2041,283,748,233,55
17,690,869,Shia000196Vols,825,1183,1373,140,93
17,730,1008,Shia000121Vols,864,1,490,190,48
17,687,993,Shia001149Vols,1774,397,687,179,72
18,186,788,Shamela0000427BK2,1536,526,1532,387,47
19,1183,1349,Shia000220Vols,1127,268,433,134,99
19,554,833,Shia000220Vols,1128,1,282,223,98
19,493,805,Shia000361,22,240,535,232,91
19,1195,1349,Shia000361,23,20,186,124,92
19,878,1048,Shia000361,132,72,217,112,85
19,490,926,Shia000094Vols,422,65,464,289,80
19,875,1048,Shia000094Vols,422,865,1036,129,96
19,1145,1349,Shia000094Vols,426,240,436,142,84
19,493,1027,Shia000094Vols,535,31,530,309,66
19,878,1048,Shia000094Vols,551,730,908,127,91
19,915,1048,Shia000298Vols,1515,1135,1268,103,100
19,508,805,Shia000298Vols,1516,587,880,233,96
19,903,1048,Shia000298Vols,1629,637,777,101,91
19,891,1048,Shia001395Vols,789,1194,1351,122,100
19,833,1204,Shia002945Vols,650,236,594,188,52
19,833,1195,Shia002945Vols,658,133,467,203,68
19,471,833,Shia001161Vols,556,721,1085,288,98
19,833,1261,Shia001161Vols,565,671,1414,331,57
19,891,1195,Shia000182VolsBK2,641,1145,1376,146,62
19,490,833,Shia000182VolsBK2,642,361,710,271,97
19,1142,1437,Shia000182VolsBK2,665,287,674,184,56
19,493,833,Shia000182VolsBK2,667,80,429,270,96
19,878,1048,Shia000182VolsBK2,713,202,373,132,99
19,471,833,Shia001157Vols,322,1104,1452,271,93
19,833,1349,Shia001157Vols,329,251,854,357,72
19,878,1048,Shia001432Vols,29247,1219,1387,127,96
19,493,833,Shia001432Vols,29248,320,660,265,97
19,243,424,Shia001432Vols,29261,317,674,123,43
19,926,1048,Shia000063Vols,111,232,354,95,100
19,878,1048,Shia000317Vols,4171,1369,1539,132,100
19,493,833,Shia000317Vols,4172,245,578,265,96
19,490,805,Shia002963,261,1018,1335,252,98
19,490,833,Shia000234Vols,3391,878,1224,269,95
19,493,833,Shia000234Vols,3478,12,361,269,94
19,1195,1349,Shia000234Vols,3482,335,490,122,96
19,878,1048,Shia000234Vols,3645,600,756,113,81
19,243,424,Shia000002,69,1064,1421,123,43
19,1142,1342,Shia000107Vols,968,645,836,147,91
19,875,1204,Shia000107Vols,1291,1123,1412,158,54
19,875,1048,Shia000107Vols,1315,159,323,125,93
19,437,833,Shia000026Vols,177,1056,1450,275,86
19,475,738,Shia001187Vols,2192,1231,1493,211,99
19,738,894,Shia001187Vols,2193,1,174,86,59
19,725,1204,Shia001187Vols,2194,89,587,206,45
19,1220,1349,Shia001187Vols,2197,1,130,105,100
19,1209,1349,Shia000263Vols,2335,1,133,105,93
19,878,1048,Shia000296,370,728,890,124,93
19,493,833,Shia000296,394,724,1073,271,96
19,248,424,Shia001237Vols,1502,224,861,127,25
19,875,1442,Shia000196Vols,896,918,1156,178,40
19,1167,1333,Shia000196Vols,898,196,362,131,98
19,875,1048,Shia000196Vols,929,1275,1445,130,97
19,493,1048,Shia000121Vols,775,774,1252,241,47
19,1158,1333,Shia000233,432,15,177,122,85
19,878,1048,Shia000233,434,233,386,113,85
19,915,1020,Shia000277Vols,756,1447,1555,82,97
19,493,833,Shia001149Vols,186,371,711,265,95
20,111,525,Shia001122Vols,1365,1,382,126,25
20,1015,1231,Shia000152,685,1418,1610,105,58
20,1102,1275,Shia000094Vols,530,1304,1474,116,80
20,244,546,Shia002945Vols,648,407,696,179,71
20,1,442,Shia002945Vols,657,1043,1419,200,45
20,667,863,Shia001161Vols,558,341,536,140,84
20,918,1412,Shia001161Vols,569,380,821,240,55
20,1,266,Shia001161Vols,686,1006,1433,206,59
20,266,658,Shia001161Vols,687,1,418,248,73
20,984,1275,Shia000182VolsBK2,707,447,948,194,47
20,918,1412,Shia001157Vols,330,860,1267,231,53
20,251,773,Shia001432Vols,7324,642,1254,285,56
20,1,442,Shia001432Vols,7328,993,1381,201,44
20,282,658,Shia000234Vols,3480,775,1146,153,36
20,1128,1275,Shia000234Vols,3582,81,291,93,52
20,1,442,Shia000234Vols,3644,329,725,199,43
20,1,220,Shia002389Vols,2251,40,251,166,95
20,999,1395,Shia000026Vols,199,1038,1351,181,60
20,469,790,Shia001187Vols,1691,547,1111,169,38
20,213,442,Shia001187Vols,2193,1225,1439,154,85
20,24,335,Shia001187Vols,2196,1,358,201,62
20,478,853,Shia001187Vols,2200,346,833,171,35
20,934,1412,Shia001187Vols,2214,45,592,226,41
20,1,442,Shia000296,394,87,463,200,45
20,1,226,Shia000196Vols,896,1156,1374,172,96
20,282,464,Shia000196Vols,897,437,613,138,96
20,946,1275,Shia000196Vols,931,1,374,212,69
20,1121,1275,Shia000121Vols,819,1,151,117,96
20,5,464,Shia000233,432,203,723,271,58
20,984,1275,Shia000291Vols,805,777,1024,157,68
20,1002,1299,Shia001149Vols,187,335,642,147,55
20,918,1275,Shia001149Vols,1332,146,370,172,62
21,121,335,Shia000361,41,233,446,163,98
21,121,335,Shia000361,122,1002,1215,163,98
21,99,298,Shia000094Vols,553,1307,1476,134,84
21,155,298,Shia000298Vols,1631,465,606,108,97
21,47,266,Shia001161Vols,693,1207,1427,170,99
21,99,298,Shia001432Vols,29269,786,984,149,91
21,192,331,Shia001432Vols,39219,985,1124,107,99
21,125,335,Shia000317Vols,4203,106,312,157,96
21,125,247,Shia000317Vols,4321,1209,1490,92,42
21,99,335,Shia000234Vols,3651,1311,1549,175,91
21,130,331,Shia000107Vols,1316,701,911,155,94
21,26,341,Shia001187Vols,2222,789,1094,229,94
21,121,341,Shia000296,399,55,274,165,96
21,96,335,Shia000296,434,26,210,137,73
21,130,298,Shia000121Vols,818,1157,1304,112,85
22,513,903,Shia000055Vols,538,868,1227,96,20
23,202,329,Shia000220Vols,355,527,649,96,95
23,196,329,Shia000399,56,1162,1315,103,84
23,226,329,Shia000298Vols,390,1102,1205,82,100
23,196,329,Shia000317Vols,821,1350,1503,103,84
23,196,333,Shia000234Vols,871,755,912,103,83
23,226,329,Shia001134,515,799,902,82,100
23,196,333,Shia001187Vols,463,1100,1262,104,80
23,226,333,Shia001187Vols,5481,1045,1152,82,97
23,226,329,Shia000277Vols,183,1176,1279,81,99
23,226,329,Shia001149Vols,843,128,231,82,100
25,176,371,Shia000204Vols,22,1,351,114,42
25,166,421,Shia000134VolsBK2,2776,19,580,146,33
25,184,311,Shia000070Vols,856,1439,1614,62,43
25,166,375,Shia000089Vols,4993,897,1398,120,30
25,166,375,Shia001149Vols,765,154,692,139,33
27,612,782,Shia000094Vols,2152,745,903,123,91
27,639,782,Shia000026Vols,1385,991,1135,111,97
29,831,933,Shia002945Vols,1020,734,878,71,64
29,475,933,Shia001161Vols,1483,830,1212,111,25
29,831,933,Shia001187Vols,3651,516,659,71,64
30,646,802,Shia000220Vols,1544,11,162,112,91
30,367,673,Shia001122Vols,1917,1139,1457,172,61
30,200,694,Shia000094Vols,1047,9,339,194,50
30,271,570,Shia000298Vols,2728,419,709,114,36
30,446,685,Shia002945Vols,1145,1,302,147,63
30,214,694,Shia001161Vols,1378,474,1027,263,56
30,231,802,Shia001161Vols,1417,439,762,216,47
